Date,BOE
1968-05-24,6417
1968-05-31,7174
1968-06-07,7482
1968-06-14,2549
1968-06-21,2156
1968-06-28,2185
1968-07-05,3016
1968-07-12,2409
1967-07-19,9883
1968-07-26,0985
1968-08-02,1526
1968-08-09,0059
1967-08-16,9513
1968-08-23,0860
1968-08-30,1867
1968-09-06,0898
1967-09-13,9514
1967-09-20,9593
1967-09-27,9942
1968-10-04,4488
1967-10-11,9049
1967-10-18,8184
1967-10-25,8791
1968-11-01,0264
1968-11-08,0110
1968-11-15,0371
1967-11-22,8729
1968-11-29,0280
1968-12-06,2346
1968-12-13,3548
1968-12-20,4831
1968-12-27,5593
1978-01-03,5214
1978-01-10,2957
1977-01-17,9839
1977-01-24,9313
1977-01-31,8257
1977-02-07,7808
1977-02-14,7075
1977-02-21,6991
1977-02-28,7638
1977-03-07,7747
1978-03-14,0763
1977-03-21,9539
1977-03-28,9633
1978-04-04,0386
1978-04-11,0479
1978-04-18,1088
1977-04-25,9550
1977-05-02,9416
1977-05-09,9949
1978-05-16,1369
1977-05-23,9015
1978-05-30,1865
1978-06-06,0537
1978-06-13,0543
1978-06-20,1026
1977-06-27,9737
1979-07-04,9411
1977-07-11,9980
1978-07-18,0030
1978-07-25,0275
1978-08-01,1843
1978-08-08,0845
1978-08-15,1676
1978-08-22,0087
1978-08-29,3222
1978-09-05,4220
1978-09-12,3779
1979-09-19,5034
1979-09-26,8081
1979-10-03,3622
1978-10-10,9805
1979-10-17,1678
1979-10-24,5361
1979-10-31,2533
1979-11-07,3838
1979-11-14,5862
1979-11-21,7547
1979-11-28,6810
1979-12-05,6315
1979-12-12,7279
1971-12-19,07596
1971-12-24,02241
1971-12-26,02241
1981-01-02,01034
1981-01-09,01895
1989-01-16,6586
1981-01-23,02157
1989-01-30,4098
1989-02-06,5957
1989-02-13,6310
1989-02-20,7616
1989-02-27,6452
1981-03-05,05954
1989-03-12,7228
1981-03-19,02178
1989-03-26,8805
1981-04-02,00449
1989-04-09,8497
1989-04-16,9487
1989-04-23,6747
1989-04-30,2247
1981-05-07,00916
1989-05-14,5142
1989-05-21,4366
1989-05-28,3029
1989-06-04,9994
1989-06-11,3223
1988-06-18,6949
1989-06-25,1837
1988-07-02,9949
1989-07-09,2391
1989-07-16,0891
1989-07-23,1925
1989-07-30,3978
1989-08-06,5574
1989-08-13,2592
1989-08-20,3428
1989-08-27,3234
1989-09-03,7746
1989-09-10,3175
1981-09-17,18031
1981-09-24,37685
1981-10-01,86592
1981-10-08,99198
1982-10-15,76747
1982-10-22,92467
1982-10-29,66396
1982-11-05,51070
1982-11-12,36729
1982-11-19,62563
1982-11-26,39049
1982-12-03,59154
1982-12-10,35801
1982-12-17,25363
1982-12-24,37149
1982-12-31,38490
1992-01-07,37516
1992-01-14,57785
1992-01-21,18961
1991-01-28,89522
1991-02-04,74267
1991-02-11,81582
1991-02-18,68404
1991-02-25,77051
1991-03-04,67018
1991-03-11,84579
1991-03-18,73360
1991-03-25,81515
1991-04-01,89396
1992-04-08,14054
1991-04-15,98920
1992-04-22,09908
1992-04-29,12569
1992-05-06,18178
1992-05-13,15150
1992-05-20,21122
1992-05-27,11324
1992-06-03,20596
1992-06-10,17030
1992-06-17,22718
1992-06-24,20105
1992-07-01,26582
1992-07-08,33730
1992-07-15,37695
1992-07-22,41789
1992-07-29,45318
1992-08-05,46639
1992-08-12,17354
1992-08-19,20511
1992-08-26,20252
1992-09-02,21614
1992-09-09,21225
1992-09-16,25989
1992-09-23,22713
1992-09-30,26407
1992-10-07,22200
1992-10-14,25173
1992-10-21,29966
1992-10-28,35345
1992-11-04,36942
1992-11-11,33543
1992-11-18,35221
1992-11-25,34631
1992-12-02,39261
1992-12-09,38787
1992-12-16,40431
1992-12-23,37966
1992-12-30,37694
2010-01-06,237756
